Description,TIMESTAMP
Statistics: FilesDownloaded:45; TotalNumberOfFiles:704008; SnapshotSizeBytes:1148640337701; ReusedBytes:1148637916298; DownloadedBytes:1907883; RunTimeInSec:178; ManifestTimeSec:9; CleanupTimeSec:0; CSWDoneSizeBytes:1543452425869; FilesFilterOutBySize:0,2020-07-02T11:17:55.8180022Z
Statistics: FilesDownloaded:42; TotalNumberOfFiles:920971; SnapshotSizeBytes:3213335056276; ReusedBytes:3213332672504; DownloadedBytes:1907883; RunTimeInSec:243; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T11:19:26.7521817Z
Statistics: FilesDownloaded:28; TotalNumberOfFiles:704008; SnapshotSizeBytes:1148640337574; ReusedBytes:1148639828284; DownloadedBytes:6748; RunTimeInSec:176; ManifestTimeSec:9; CleanupTimeSec:0; CSWDoneSizeBytes:1543452425869; FilesFilterOutBySize:0,2020-07-02T11:20:52.7856862Z
Statistics: FilesDownloaded:48; TotalNumberOfFiles:704682; SnapshotSizeBytes:1151150380621; ReusedBytes:1151147951632; DownloadedBytes:1914631; RunTimeInSec:337; ManifestTimeSec:18; CleanupTimeSec:1; CSWDoneSizeBytes:1540945055306; FilesFilterOutBySize:0,2020-07-02T11:21:03.9323219Z
Statistics: FilesDownloaded:23; TotalNumberOfFiles:920971; SnapshotSizeBytes:3213335056192; ReusedBytes:3213334620670; DownloadedBytes:0; RunTimeInSec:242; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T11:23:29.7933697Z
Statistics: FilesDownloaded:33; TotalNumberOfFiles:704008; SnapshotSizeBytes:1148640337363; ReusedBytes:1148639816026; DownloadedBytes:88996; RunTimeInSec:172; ManifestTimeSec:9; CleanupTimeSec:0; CSWDoneSizeBytes:1543452425869; FilesFilterOutBySize:0,2020-07-02T11:23:45.6621205Z
Statistics: FilesDownloaded:33; TotalNumberOfFiles:704008; SnapshotSizeBytes:1148640331448; ReusedBytes:1148604744273; DownloadedBytes:35136233; RunTimeInSec:183; ManifestTimeSec:8; CleanupTimeSec:0; CSWDoneSizeBytes:1543452425869; FilesFilterOutBySize:0,2020-07-02T11:26:49.624334Z
Statistics: FilesDownloaded:39; TotalNumberOfFiles:704682; SnapshotSizeBytes:1151150380580; ReusedBytes:1151149805017; DownloadedBytes:90111; RunTimeInSec:344; ManifestTimeSec:19; CleanupTimeSec:1; CSWDoneSizeBytes:1540945055306; FilesFilterOutBySize:0,2020-07-02T11:26:49.9466663Z
Statistics: FilesDownloaded:67; TotalNumberOfFiles:920972; SnapshotSizeBytes:3213335150143; ReusedBytes:3213020281279; DownloadedBytes:314397958; RunTimeInSec:248; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T11:27:38.4652801Z
Statistics: FilesDownloaded:45; TotalNumberOfFiles:539693; SnapshotSizeBytes:1096737108974; ReusedBytes:1096577426563; DownloadedBytes:213502958; RunTimeInSec:210; ManifestTimeSec:10; CleanupTimeSec:0; CSWDoneSizeBytes:1283701647162; FilesFilterOutBySize:0,2020-07-02T11:30:20.7004509Z
Statistics: FilesDownloaded:29; TotalNumberOfFiles:756110; SnapshotSizeBytes:2900458735949; ReusedBytes:2900404043225; DownloadedBytes:108436710; RunTimeInSec:241; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T11:31:40.8610948Z
Statistics: FilesDownloaded:54; TotalNumberOfFiles:358518; SnapshotSizeBytes:236180708391; ReusedBytes:236039348792; DownloadedBytes:140797565; RunTimeInSec:367; ManifestTimeSec:14; CleanupTimeSec:1; CSWDoneSizeBytes:479616156684; FilesFilterOutBySize:0,2020-07-02T11:32:58.7607294Z
Statistics: FilesDownloaded:80; TotalNumberOfFiles:541188; SnapshotSizeBytes:1118192053718; ReusedBytes:1117963789547; DownloadedBytes:227780137; RunTimeInSec:200; ManifestTimeSec:10; CleanupTimeSec:0; CSWDoneSizeBytes:1533201199876; FilesFilterOutBySize:0,2020-07-02T11:33:41.4084655Z
Statistics: FilesDownloaded:84; TotalNumberOfFiles:839993; SnapshotSizeBytes:3197867091665; ReusedBytes:3197638754102; DownloadedBytes:227901594; RunTimeInSec:241; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T11:35:42.6558218Z
Statistics: FilesDownloaded:41; TotalNumberOfFiles:704049; SnapshotSizeBytes:1148640249848; ReusedBytes:1148639604565; DownloadedBytes:128187; RunTimeInSec:201; ManifestTimeSec:8; CleanupTimeSec:0; CSWDoneSizeBytes:1543452429344; FilesFilterOutBySize:0,2020-07-02T11:37:03.455277Z
Statistics: FilesDownloaded:48; TotalNumberOfFiles:459878; SnapshotSizeBytes:1083309025937; ReusedBytes:1083253710415; DownloadedBytes:231127990; RunTimeInSec:361; ManifestTimeSec:20; CleanupTimeSec:1; CSWDoneSizeBytes:1274885600173; FilesFilterOutBySize:0,2020-07-02T11:39:01.1103256Z
Statistics: FilesDownloaded:37; TotalNumberOfFiles:921012; SnapshotSizeBytes:3213335197671; ReusedBytes:3213334559795; DownloadedBytes:163235; RunTimeInSec:243; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T11:39:46.1816605Z
Statistics: FilesDownloaded:35; TotalNumberOfFiles:704049; SnapshotSizeBytes:1148640249421; ReusedBytes:1148639686255; DownloadedBytes:158078; RunTimeInSec:183; ManifestTimeSec:8; CleanupTimeSec:0; CSWDoneSizeBytes:1543452429344; FilesFilterOutBySize:0,2020-07-02T11:40:06.9904463Z
Statistics: FilesDownloaded:26; TotalNumberOfFiles:704049; SnapshotSizeBytes:1148640250099; ReusedBytes:1148639875602; DownloadedBytes:6738; RunTimeInSec:182; ManifestTimeSec:15; CleanupTimeSec:0; CSWDoneSizeBytes:1543452429344; FilesFilterOutBySize:0,2020-07-02T11:43:10.5514786Z
Statistics: FilesDownloaded:235; TotalNumberOfFiles:921012; SnapshotSizeBytes:3213336389450; ReusedBytes:3213218149166; DownloadedBytes:117780410; RunTimeInSec:241; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T11:43:48.492118Z
Statistics: FilesDownloaded:39; TotalNumberOfFiles:704723; SnapshotSizeBytes:1151150293200; ReusedBytes:1151149664589; DownloadedBytes:158086; RunTimeInSec:343; ManifestTimeSec:16; CleanupTimeSec:1; CSWDoneSizeBytes:1540945058781; FilesFilterOutBySize:0,2020-07-02T11:44:45.466867Z
Statistics: FilesDownloaded:26; TotalNumberOfFiles:704049; SnapshotSizeBytes:1148640249687; ReusedBytes:1148639799344; DownloadedBytes:0; RunTimeInSec:178; ManifestTimeSec:9; CleanupTimeSec:0; CSWDoneSizeBytes:1543452429344; FilesFilterOutBySize:0,2020-07-02T11:46:09.4583793Z
Statistics: FilesDownloaded:90; TotalNumberOfFiles:921013; SnapshotSizeBytes:3213336406977; ReusedBytes:3213054122446; DownloadedBytes:281889310; RunTimeInSec:251; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T11:48:00.260897Z
Statistics: FilesDownloaded:30; TotalNumberOfFiles:704049; SnapshotSizeBytes:1148640260355; ReusedBytes:1148634385009; DownloadedBytes:5346768; RunTimeInSec:188; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:1543452429344; FilesFilterOutBySize:0,2020-07-02T11:49:18.7652162Z
Statistics: FilesDownloaded:34; TotalNumberOfFiles:704723; SnapshotSizeBytes:1151150303340; ReusedBytes:1151144345011; DownloadedBytes:5346768; RunTimeInSec:345; ManifestTimeSec:17; CleanupTimeSec:1; CSWDoneSizeBytes:1540945058781; FilesFilterOutBySize:0,2020-07-02T11:50:31.7182402Z
Statistics: FilesDownloaded:26; TotalNumberOfFiles:921013; SnapshotSizeBytes:3213336417752; ReusedBytes:3213330548285; DownloadedBytes:5340012; RunTimeInSec:244; ManifestTimeSec:17; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T11:52:05.4563179Z
